,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Guaymas,100,MX,1563616125,73,27.92,-110.9,82.0,5.01
1,Bubaque,100,GW,1563616126,80,11.28,-15.83,78.1,7.96
2,Tabuk,100,PH,1563616126,98,17.41,121.44,69.82,2.8
3,Soyo,40,AO,1563616094,74,-6.13,12.37,78.8,4.61
4,Puerto Ayora,5,EC,1563616126,87,-0.74,-90.35,66.4,5.21
5,Rikitea,6,PF,1563616127,53,-23.12,-134.97,66.58,9.75
6,East London,20,ZA,1563616033,62,-33.02,27.91,53.6,31.09
7,Busselton,68,AU,1563616127,82,-33.64,115.35,57.0,27.81
8,Tomatlan,98,MX,1563616128,80,19.93,-105.25,76.66,7.49
9,Khatanga,72,RU,1563616128,35,71.98,102.47,79.18,13.58
10,Lensk,0,RU,1563616128,35,60.71,114.91,67.3,12.88
11,Tuktoyaktuk,100,CA,1563616129,97,69.44,-133.03,38.86,8.9
12,Vryburg,0,ZA,1563616129,38,-26.96,24.73,55.24,10.6
13,Yellowknife,40,CA,1563616129,81,62.45,-114.38,51.8,4.7
14,Vanino,49,RU,1563616130,61,53.93,40.55,69.01,1.99
15,Ushuaia,20,AR,1563616130,80,-54.81,-68.31,33.8,8.05
16,Ixtapa,90,MX,1563616130,100,20.71,-105.21,77.0,4.7
17,Arraial do Cabo,75,BR,1563616130,93,-22.97,-42.02,66.2,13.87
18,Necochea,100,AR,1563616131,93,-38.55,-58.74,43.0,7.31
19,Klaksvik,40,FO,1563616131,93,62.23,-6.59,55.4,12.75
20,Shenzhen,20,CN,1563615979,83,22.54,114.05,82.4,6.71
21,Bud,20,NO,1563616131,82,62.91,6.91,66.2,4.7
22,Vestmannaeyjar,40,IS,1563616132,93,63.44,-20.27,55.4,4.7
23,Bilibino,84,RU,1563616132,76,68.06,166.44,41.02,3.49
24,Pendleton,90,US,1563616132,100,34.65,-82.78,75.99,3.91
25,Atuona,40,PF,1563616133,72,-9.8,-139.03,80.44,8.77
26,Morbach,0,DE,1563616133,44,49.52,10.62,84.0,6.93
27,Narsaq,96,GL,1563616133,93,60.91,-46.05,46.4,3.36
28,Barrow,100,AR,1563616134,51,-38.31,-60.23,46.6,5.79
29,Whitehorse,75,CA,1563616067,67,60.72,-135.06,59.0,6.93
30,Carnarvon,5,ZA,1563616134,42,-30.97,22.13,42.1,11.3
31,Mujiayingzi,100,CN,1563616134,61,42.12,118.78,77.92,9.35
32,Tasiilaq,99,GL,1563616135,81,65.61,-37.64,46.4,10.29
33,Saint-Philippe,1,CA,1563616135,88,45.36,-73.48,75.99,10.29
34,Ust-Kut,76,RU,1563616135,41,56.78,105.75,73.78,9.64
35,Quelimane,0,MZ,1563616136,54,-17.88,36.89,82.4,8.05
36,Mayo,20,CA,1563616136,63,63.59,-135.9,64.4,4.7
37,Kudahuvadhoo,90,MV,1563616136,78,2.67,72.89,83.14,17.22
38,Zavitinsk,100,RU,1563616136,83,50.11,129.44,76.66,11.72
39,Grand Gaube,75,MU,1563616137,65,-20.01,57.66,77.0,18.34
40,Biltine,60,TD,1563616137,35,14.53,20.93,91.24,10.76
41,Jamestown,0,AU,1563615891,37,-33.21,138.6,55.96,16.02
42,Bluff,0,AU,1563616138,60,-23.58,149.07,59.74,12.55
43,Ous,100,RU,1563616138,51,60.91,61.52,80.98,4.72
44,Albany,75,US,1563616038,78,42.65,-73.75,78.01,3.36
45,Kapaa,90,US,1563616093,78,22.08,-159.32,80.6,12.75
46,Nikolskoye,75,RU,1563616139,77,59.7,30.79,71.01,8.95
47,Poum,40,MK,1563616139,60,41.28,20.71,71.6,6.93
48,Malanje,75,AO,1563616139,82,-9.54,16.35,68.0,5.82
49,Rome,0,IT,1563616139,42,41.89,12.48,88.0,4.7
50,Kumo,100,NG,1563616140,75,10.05,11.21,75.76,8.59
51,Dikson,96,RU,1563616140,80,73.51,80.55,44.26,21.14
52,Tura,0,RU,1563616140,31,64.27,100.22,70.18,14.09
53,Mount Gambier,0,AU,1563616141,50,-37.83,140.78,55.4,16.11
54,Bethel,90,US,1563616141,93,60.79,-161.76,53.6,9.17
55,Saint-Pierre,0,FR,1563616141,50,48.95,4.24,82.0,14.99
56,Kloulklubed,75,PW,1563616142,79,7.04,134.26,84.2,5.82
57,Labuhan,100,ID,1563616142,89,-2.54,115.51,82.42,1.48
58,Raudeberg,98,NO,1563616142,63,61.99,5.14,66.2,6.93
59,Kazachinskoye,100,RU,1563616142,84,57.69,93.28,54.7,10.85
60,Victoria,75,BN,1563615954,74,5.28,115.24,87.8,5.82
61,Nizhneangarsk,99,RU,1563616143,65,55.78,109.57,66.4,2.01
62,Tiarei,20,PF,1563616143,73,-17.53,-149.33,71.6,4.7
63,Sitka,54,US,1563616144,58,37.17,-99.65,78.01,8.99
64,Ust-Tsilma,100,RU,1563616144,75,65.44,52.15,60.28,2.93
65,Sterling,1,US,1563616144,94,39.0,-77.4,81.0,3.36
66,Pundaguitan,12,PH,1563616144,71,6.37,126.17,83.14,8.1
67,Oranjemund,5,ZA,1563616145,74,-28.55,16.43,54.88,28.34
68,Isangel,90,VU,1563616145,73,-19.55,169.27,69.8,19.75
69,Yerbogachen,0,RU,1563616145,34,61.28,108.01,68.56,16.02
70,Bayangol,3,MN,1563616146,43,48.91,106.09,79.9,6.38
71,Talnakh,0,RU,1563616146,31,69.49,88.39,77.0,15.66
72,Mataura,100,NZ,1563616146,97,-46.19,168.86,48.0,3.0
73,Alyangula,0,AU,1563616146,64,-13.85,136.42,73.4,6.93
74,Emerald,12,AU,1563616147,51,-23.53,148.16,62.6,5.82
75,Nixa,1,US,1563615883,100,37.04,-93.29,75.2,4.7
76,Mahebourg,75,MU,1563616147,65,-20.41,57.7,77.0,18.34
77,Cayenne,90,GF,1563615880,94,4.94,-52.33,73.4,3.11
78,Sibenik,0,HR,1563616148,54,45.81,17.18,80.8,5.95
79,Bambous Virieux,75,MU,1563616148,65,-20.34,57.76,77.0,18.34
80,Sandnessjoen,75,NO,1563616148,93,66.02,12.63,60.8,4.7
81,Butaritari,0,KI,1563616148,69,3.07,172.79,85.12,7.67
82,Luderitz,0,NA,1563616149,75,-26.65,15.16,56.5,24.14
83,Shetpe,19,KZ,1563616150,22,44.14,52.16,95.38,17.07
84,Bomet,3,KE,1563616150,58,-0.78,35.34,73.78,3.65
85,Iisalmi,0,FI,1563616150,68,63.56,27.19,66.2,8.05
86,Cidreira,18,BR,1563616150,82,-30.17,-50.22,60.1,6.62
